i,theta_y_deg,t_days,t_hours,flux_relative
0.000000000000000000e+00,-5.000000000000000000e+00,-6.788614504166666508e-02,-1.629267480999999851e+00,1.000000000000000000e+00
1.000000000000000000e+00,-4.875000000000000000e+00,-6.618899141562499533e-02,-1.588535793974999777e+00,1.000000000000000000e+00
2.000000000000000000e+00,-4.750000000000000000e+00,-6.449183778958333946e-02,-1.547804106950000147e+00,1.000000000000000000e+00
3.000000000000000000e+00,-4.625000000000000000e+00,-6.279468416354166971e-02,-1.507072419925000073e+00,1.000000000000000000e+00
4.000000000000000000e+00,-4.500000000000000000e+00,-6.109753053749999302e-02,-1.466340732899999777e+00,1.000000000000000000e+00
5.000000000000000000e+00,-4.375000000000000000e+00,-5.940037691145833715e-02,-1.425609045875000147e+00,1.000000000000000000e+00
6.000000000000000000e+00,-4.250000000000000000e+00,-5.770322328541667434e-02,-1.384877358850000295e+00,1.000000000000000000e+00
7.000000000000000000e+00,-4.125000000000000000e+00,-5.600606965937500459e-02,-1.344145671825000221e+00,1.000000000000000000e+00
8.000000000000000000e+00,-4.000000000000000000e+00,-5.430891603333333484e-02,-1.303413984800000147e+00,9.998981187357909306e-01
9.000000000000000000e+00,-3.875000000000000000e+00,-5.261176240729166509e-02,-1.262682297775000073e+00,9.990868203598157749e-01
1.000000000000000000e+01,-3.749999999999999556e+00,-5.091460878124999534e-02,-1.221950610749999999e+00,9.980219383052666426e-01
1.100000000000000000e+01,-3.625000000000000444e+00,-4.921745515520833253e-02,-1.181218923724999925e+00,9.970719080998816652e-01
1.200000000000000000e+01,-3.500000000000000000e+00,-4.752030152916667666e-02,-1.140487236700000295e+00,9.968247084678473202e-01
1.300000000000000000e+01,-3.375000000000000000e+00,-4.582314790312500691e-02,-1.099755549675000221e+00,9.967435241184855466e-01
1.400000000000000000e+01,-3.250000000000000000e+00,-4.412599427708333716e-02,-1.059023862650000147e+00,9.966773561099829815e-01
1.500000000000000000e+01,-3.125000000000000000e+00,-4.242884065104166741e-02,-1.018292175625000073e+00,9.966299414634400833e-01
1.600000000000000000e+01,-3.000000000000000444e+00,-4.073168702500000460e-02,-9.775604886000001104e-01,9.965743425288338120e-01
1.700000000000000000e+01,-2.875000000000000000e+00,-3.903453339895833485e-02,-9.368288015750000364e-01,9.965275787684585440e-01
1.800000000000000000e+01,-2.750000000000000000e+00,-3.733737977291666510e-02,-8.960971145499999624e-01,9.964853213353607186e-01
1.900000000000000000e+01,-2.625000000000000000e+00,-3.564022614687500229e-02,-8.553654275249999994e-01,9.964469590444607894e-01
2.000000000000000000e+01,-2.500000000000000000e+00,-3.394307252083333254e-02,-8.146337404999999254e-01,9.964119690523599582e-01
